Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
less than 0,6,critical account/ other credits existing,radio/television,1169,unkown/no savings account,greater than 7 years,4,male : single,none,4,real estate,67,,own,2,skilled employee,1,yes,Y,1
less than 116,48,existing credits paid back till now,radio/television,5951,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,real estate,22,,own,1,skilled employee,1,none,Y,0
no checking account,12,critical account/ other credits existing,education,2096,less than 116,less than 7 years,2,male : single,none,3,real estate,49,,own,1,unskilled,2,none,Y,1
less than 0,42,existing credits paid back till now,furniture/equipment,7882,less than 116,less than 7 years,2,male : single,guarantor,4,building society saving agreement/life insurance,45,,for free,1,skilled employee,2,none,Y,1
less than 0,24,delay in paying off in the past,new car,4870,less than 116,less than 4 years,3,male : single,none,4,unkown/no property,53,,for free,2,skilled employee,2,none,Y,0
no checking account,36,existing credits paid back till now,education,9055,unkown/no savings account,less than 4 years,2,male : single,none,4,unkown/no property,35,,for free,1,unskilled,2,yes,Y,1
no checking account,24,existing credits paid back till now,furniture/equipment,2835,less than 582,greater than 7 years,3,male : single,none,4,building society saving agreement/life insurance,53,,own,1,skilled employee,1,none,Y,1
less than 116,36,existing credits paid back till now,used car,6948,less than 116,less than 4 years,2,male : single,none,2,car or other,35,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,radio/television,3059,greater than 582,less than 7 years,2,male : divocred/separated,none,4,real estate,61,,own,1,unskilled,1,none,Y,1
less than 116,30,critical account/ other credits existing,new car,5234,less than 116,unemployed,4,male : married/widowed,none,2,car or other,28,,own,2,self_employed/highly qualified employee,1,none,Y,0
less than 116,12,existing credits paid back till now,new car,1295,less than 116,less than 1 year,3,female : divorced/separated/married,none,1,car or other,25,,rent,1,skilled employee,1,none,Y,0
less than 0,48,existing credits paid back till now,business,4308,less than 116,less than 1 year,3,female : divorced/separated/married,none,4,building society saving agreement/life insurance,24,,rent,1,skilled employee,1,none,Y,0
less than 116,12,existing credits paid back till now,radio/television,1567,less than 116,less than 4 years,1,female : divorced/separated/married,none,1,car or other,22,,own,1,skilled employee,1,yes,Y,1
less than 0,24,critical account/ other credits existing,new car,1199,less than 116,greater than 7 years,4,male : single,none,4,car or other,60,,own,2,unskilled,1,none,Y,0
less than 0,15,existing credits paid back till now,new car,1403,less than 116,less than 4 years,2,female : divorced/separated/married,none,4,car or other,28,,rent,1,skilled employee,1,none,Y,1
less than 0,24,existing credits paid back till now,radio/television,1282,less than 291,less than 4 years,4,female : divorced/separated/married,none,2,car or other,32,,own,1,unskilled,1,none,Y,0
no checking account,24,critical account/ other credits existing,radio/television,2424,unkown/no savings account,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,53,,own,2,skilled employee,1,none,Y,1
less than 0,30,no credits taken/all credit paid back,business,8072,unkown/no savings account,less than 1 year,2,male : single,none,3,car or other,25,none,own,3,skilled employee,1,none,Y,1
less than 116,24,existing credits paid back till now,used car,12579,less than 116,greater than 7 years,4,female : divorced/separated/married,none,2,unkown/no property,44,,for free,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,24,existing credits paid back till now,radio/television,3430,less than 582,greater than 7 years,3,male : single,none,2,car or other,31,,own,1,skilled employee,2,yes,Y,1
no checking account,9,critical account/ other credits existing,new car,2134,less than 116,less than 4 years,4,male : single,none,4,car or other,48,,own,3,skilled employee,1,yes,Y,1
less than 0,6,existing credits paid back till now,radio/television,2647,less than 582,less than 4 years,2,male : single,none,3,real estate,44,,rent,1,skilled employee,2,none,Y,1
less than 0,10,critical account/ other credits existing,new car,2241,less than 116,less than 1 year,1,male : single,none,3,real estate,48,,rent,2,unskilled,2,none,N,1
less than 116,12,critical account/ other credits existing,used car,1804,less than 291,less than 1 year,3,male : single,none,4,building society saving agreement/life insurance,44,,own,1,skilled employee,1,none,Y,1
no checking account,10,critical account/ other credits existing,furniture/equipment,2069,unkown/no savings account,less than 4 years,2,male : married/widowed,none,1,car or other,26,,own,2,skilled employee,1,none,N,1
less than 0,6,existing credits paid back till now,furniture/equipment,1374,less than 116,less than 4 years,1,male : single,none,2,real estate,36,none,own,1,unskilled,1,yes,Y,1
no checking account,6,no credits taken/all credit paid back,radio/television,426,less than 116,greater than 7 years,4,male : married/widowed,none,4,car or other,39,,own,1,unskilled,1,none,Y,1
greater than or equal to 116,12,all credits at this bank paid back,radio/television,409,greater than 582,less than 4 years,3,female : divorced/separated/married,none,3,real estate,42,,rent,2,skilled employee,1,none,Y,1
less than 116,7,existing credits paid back till now,radio/television,2415,less than 116,less than 4 years,3,male : single,guarantor,2,real estate,34,,own,1,skilled employee,1,none,Y,1
less than 0,60,delay in paying off in the past,business,6836,less than 116,greater than 7 years,3,male : single,none,4,unkown/no property,63,,own,2,skilled employee,1,yes,Y,0
less than 116,18,existing credits paid back till now,business,1913,greater than 582,less than 1 year,3,male : married/widowed,none,3,real estate,36,none,own,1,skilled employee,1,yes,Y,1
less than 0,24,existing credits paid back till now,furniture/equipment,4020,less than 116,less than 4 years,2,male : single,none,2,car or other,27,stores,own,1,skilled employee,1,none,Y,1
less than 116,18,existing credits paid back till now,new car,5866,less than 291,less than 4 years,2,male : single,none,2,car or other,30,,own,2,skilled employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,business,1264,unkown/no savings account,greater than 7 years,4,male : single,none,4,unkown/no property,57,,rent,1,unskilled,1,none,Y,1
greater than or equal to 116,12,existing credits paid back till now,furniture/equipment,1474,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,building society saving agreement/life insurance,33,none,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,45,critical account/ other credits existing,radio/television,4746,less than 116,less than 1 year,4,male : single,none,2,building society saving agreement/life insurance,25,,own,2,unskilled,1,none,Y,0
no checking account,48,critical account/ other credits existing,education,6110,less than 116,less than 4 years,1,male : single,none,3,unkown/no property,31,none,for free,1,skilled employee,1,yes,Y,1
greater than or equal to 116,18,existing credits paid back till now,radio/television,2100,less than 116,less than 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee,1,none,Y,0
greater than or equal to 116,10,existing credits paid back till now,domestic appliances,1225,less than 116,less than 4 years,2,male : single,none,2,car or other,37,,own,1,skilled employee,1,yes,Y,1
less than 116,9,existing credits paid back till now,radio/television,458,less than 116,less than 4 years,4,male : single,none,3,real estate,24,,own,1,skilled employee,1,none,Y,1
no checking account,30,existing credits paid back till now,radio/television,2333,less than 582,greater than 7 years,4,male : single,none,2,car or other,30,none,own,1,self_employed/highly qualified employee,1,none,Y,1
less than 116,12,existing credits paid back till now,radio/television,1158,less than 582,less than 4 years,3,male : divocred/separated,none,1,car or other,26,,own,1,skilled employee,1,yes,Y,1
less than 116,18,delay in paying off in the past,repairs,6204,less than 116,less than 4 years,2,male : single,none,4,real estate,44,,own,1,unskilled,2,yes,Y,1
